study,id_exp,id,author,LogRoM,vi,Guild,Condition,Unit,Biome,Air.Temperature,Time,Abs.Latitude,CN 
Ko2011,19,id_39,Koide et al. 2011,0.125323412,0.013724352,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_40,Koide et al. 2011,0.134552669,0.016022284,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_41,Koide et al. 2011,0.193675053,0.015045891,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_42,Koide et al. 2011,0.337139311,0.013105587,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Ko2011,19,id_43,Koide et al. 2011,0.431716696,0.012099369,ECM,Field,Mass ,TEP,NA,169,40.7934,NA
Br2015,20,id_44,Brzostek et al. 2015,NA,NA,ECM,Field,NA,TDF,11.6,365,39.083333,NA
Ch2009,21,id_45,Chigineva et al. 2009,0.03241775,0.002115183,ECM,Field,Mass ,TDF,3.25,730,55.75,NA
Ad2019,22,id_46,Adamczyk et al. 2019,0.153357215,0.003677392,ECM,Field,Mass ,BOR,3.5,1095,61.85,30
ZE1996,23,id_47,Zhu & Ehrenfeld 1996,0.152966305,0.003239852,ECM,Field,Mass ,TEF,11.5,882,39.875,NA
Ho2001,24,id_48,Hodge et al. 2001,0.075876035,0.000892728,AMF,Controlled ,13C remaining,,19.3,42,NA,6.371428571
Gu2017,25,id_49,Gui et al. 2017,0.21511138,0.059870568,AMF,Controlled ,Mass ,TRO,25,90,21.528369,22.49
Gu2017,25,id_50,Gui et al. 2017,0.371563556,0.023056629,AMF,Controlled ,Mass ,TRO,25,120,21.528369,22.49
Gu2017,25,id_51,Gui et al. 2017,0.405465108,0.010641778,AMF,Controlled ,Mass ,TRO,25,150,21.528369,22.49
Gu2017,25,id_52,Gui et al. 2017,0.28357529,0.014024775,AMF,Controlled ,Mass ,TRO,25,180,21.528369,22.49
Ko2018,26,id_53,Kong et al. 2018,0.028044463,0.000499066,AMF,Controlled ,Mass ,TDF,21.5,213,32.068836,61.73
Ko2018,26,id_54,Kong et al. 2018,0.126467251,0.001420837,AMF,Controlled ,Mass ,TDF,21.5,213,32.068836,61.73
Ko2018,26,id_55,Kong et al. 2018,0.181088336,0.000763386,AMF,Controlled ,Mass ,TDF,21.5,213,32.068836,61.73
Ko2018,26,id_56,Kong et al. 2018,0.101085178,0.00082674,AMF,Controlled ,Mass ,TDF,21.5,213,32.068836,61.73
Le2015,27,id_57,Leifheit et al. 2015,-0.509888923,0.017063897,AMF,Controlled ,Mass ,GRA,18,198,52.4543,NA
Ve2016,28,id_58,Verbruggen et al. 2016,-0.08274191,0.004002899,AMF,Controlled ,C remaining,GRA,27,140,52.458056,39.5959596
Ve2016,28,id_59,Verbruggen et al. 2016,-0.365799852,0.008416327,AMF,Controlled ,C remaining,GRA,27,140,52.458056,44.15730337
Fa2020,5,id_60,Fang et al. 2020,0.287682072,0.00446482,AMF,Field,k,TRO,19.8,243,23.45,32
Fa2020,5,id_61,Fang et al. 2020,0.298492989,0.004506616,AMF,Field,k,TRO,19.8,243,23.45,35.8
Ca2021,6,id_62,Carteron et al. 2021,0.052193482,0.002158819,AMF,Field,Mass ,TDF,4.3,730,45.988093,22.71
Ca2021,6,id_63,Carteron et al. 2021,0.116804402,0.00265213,AMF,Field,Mass ,TDF,4.3,730,45.988093,20.5
Ca2021,6,id_64,Carteron et al. 2021,0.087595046,0.004547482,AMF,Field,Mass ,TDF,4.3,730,45.988093,18.41
Li2021,7,id_65,Liu et al. 2021,NA,NA,AMF,Field,Respiration,TRO,16.2,426,29.8,13.07
Li2021,7,id_66,Liu et al. 2021,NA,NA,AMF,Field,Respiration,TRO,16.2,426,29.8,11.5
Li2019,8,id_67,Li et al. 2019,NA,NA,AMF,Controlled ,Mass ,TP,17.9,730,26.733333,38
Li2019,8,id_68,Li et al. 2019,NA,NA,AMF,Controlled ,Mass ,TP,17.9,730,26.733333,40
Li2019,8,id_69,Li et al. 2019,NA,NA,AMF,Controlled ,Mass ,TP,17.9,730,26.733333,31.9
Li2019,8,id_70,Li et al. 2019,NA,NA,AMF,Controlled ,Mass ,TP,17.9,730,26.733333,30.9
Qi2021,29,id_71,Qiu et al. 2021,0.233937796,0.039308126,AMF,Field,C remaining,AGR,24.7,91,35.716667,13.3
Qi2021,29,id_72,Qiu et al. 2021,0.569533225,0.025141523,AMF,Field,C remaining,AGR,27.4,91,35.716667,13.3
Me2022,30,id_73,Mei et al. 2022,NA,NA,AMF,Field,Mass ,GRA,18.9,1095,44.666667,29.6
Me2022,30,id_74,Mei et al. 2022,NA,NA,AMF,Field,Mass ,GRA,18.9,1095,44.666667,35.6
Ca2022,31,id_75,Cao et al. 2022,0.067342585,0.000879102,AMF,Controlled ,Mass ,NA,21.5,92,32.066667,7.93
Ca2022,31,id_76,Cao et al. 2022,-0.23137405,0.000755761,AMF,Controlled ,Mass ,NA,21.5,92,32.066667,7.93
Ca2022,31,id_77,Cao et al. 2022,0.176806837,0.000498142,AMF,Controlled ,Mass ,NA,21.5,92,32.066667,7.93
Ca2022,31,id_78,Cao et al. 2022,0.042329853,0.000162572,AMF,Controlled ,Mass ,NA,21.5,92,32.066667,7.93
Ch2012,32,id_79,Cheng et al. 2012,0.557810648,0.096613773,AMF,Controlled ,C remaining,GRA,27,70,35.668353,21.97
Ch2012,32,id_80,Cheng et al. 2012,0.673012272,0.094351306,AMF,Controlled ,C remaining,GRA,27,70,35.668353,21.97
Ch2012,32,id_81,Cheng et al. 2012,0.706676508,0.094817556,AMF,Controlled ,C remaining,GRA,27,70,35.668353,21.97
Ch2012,32,id_82,Cheng et al. 2012,0.61689021,0.09579883,AMF,Controlled ,C remaining,GRA,27,70,35.668353,21.97
Ch2012,32,id_83,Cheng et al. 2012,0.638526096,0.095598128,AMF,Controlled ,C remaining,GRA,27,70,35.668353,21.97
Be2021,15,id_84,Beidler et al. 2021,-0.148524177,0.006354239,AMF,Field,Mass ,TDF,11.06,365,39.083333,36.95
Yi2021,16,id_85,Yin et al. 2021,-0.151463732,0.026854834,AMF,Controlled ,13C Respiration,AGR,27,140,41.516667,13.14
Yi2021,16,id_86,Yin et al. 2021,0.30971585,0.010415619,AMF,Controlled ,13C Respiration,AGR,27,140,41.516667,13.14
Ca2016,33,id_87,Carrillo et al. 2016,-0.064384568,0.001250718,AMF,Controlled ,13C Respiration,GRA,23,63,41.183333,NA
Ca2016,33,id_88,Carrillo et al. 2016,-0.045635295,0.001559454,AMF,Controlled ,13C Respiration,GRA,23,63,41.183333,NA
Pa2016,34,id_89,Paterson et al. 2016,0.385792343,0.00599016,AMF,Controlled ,Respiration,GRA,22.5,60,57.183333,NA
Br2015,20,id_90,Brzostek et al. 2015,NA,NA,AMF,Field,NA,TDF,11.6,365,39.083333,NA
Sh2015,35,id_91,Shahzad et al. 2015,-0.144700986,0.006083851,AMF,Controlled ,13C Respiration,GRA,27,51,45.716667,NA
Sh2015,35,id_92,Shahzad et al. 2015,0.021304598,0.014814532,AMF,Controlled ,13C Respiration,GRA,27,51,45.716667,NA
Sh2015,35,id_93,Shahzad et al. 2015,-0.020048404,0.008587292,AMF,Controlled ,13C Respiration,GRA,27,51,45.716667,NA
Zh2020,36,id_94,Zhou et al. 2020,-0.321725929,0.008770043,AMF,Controlled ,13C Respiration,,20.8,112,NA,9.28
